897024,898879,900974,903178,905069,906913,909176,911582,913776,915872,918224,920543,922419,924332,926705,929297,931557,933783,936278,938803,940887,942977,945224,947374,949165,951052,953208,955342,957147,958995
40142,40695,41492,41982,43276,43584,43986,43950,42793,43561,43266,44635,43333,43858,43942,44154,44559,44883,45264,45697,46468,47120,47100,47583,47335,47791,48293,48029,48892,49260
36542349,37182588,37608147,38413724,39973894,40608476,41258142,41406924,41859124,42267856,42010372,43102132,42881924,43088112,43239680,43572680,45241680,45873384,46494880,47018316,48895496,49600732,49927080,50260720,51189176,51791000,52154744,52236284,52923356,53314091
600264,603482,607198,611154,614881,618577,622406,626218,629891,633488,637184,640772,644107,647422,650467,653041,655415,657776,660558,663542,666260,668964,671831,674600,677126,679788,682636,685427,687991,690655
60877,61613,61937,62854,65011,65648,66288,66122,66455,66722,65931,67266,66576,66553,66475,66723,69028,69740,70387,70860,73388,74146,74315,74504,75598,76187,76402,76210,76924,77194
711508650,723193676,733147990,744405092,762098373,771920728,777783379,781461312,779950248,785502228,789252704,817710388,787048208,794089004,803092540,811313808,832022536,849464504,863476072,881004528,901020064,916589320,925156124,937066436,934588028,945332600,954909140,954000120,973211658,982911435
18781915,18826540,18883931,18950135,19008524,19066112,19131110,19196623,19256081,19313700,19378698,19443620,19497535,19551986,19623724,19705489,19778752,19850976,19938117,20032743,20117163,20201180,20294756,20390527,20477278,20566220,20662873,20759649,20847931,20937271
37883,38414,38824,39282,40092,40487,40655,40708,40504,40671,40728,42055,40367,40614,40925,41172,42066,42792,43308,43978,44789,45373,45586,45956,45640,45965,46214,45955,46681,46946
330651201,334119492,338145779,343099896,355489533,357809880,362733299,363079716,359851260,362773660,364057532,375241260,366911280,370292284,372306480,375113604,384828932,391609412,397776544,404611360,410351428,416457756,420802104,425919432,430248332,432968148,437239168,438253064,446183550,450484487
9678698,9700982,9727067,9753047,9776249,9799201,9825535,9852477,9877507,9901777,9925195,9944749,9960135,9975879,9998711,10026087,10050389,10074417,10102966,10133064,10159153,10185396,10214660,10243732,10269126,10296051,10325643,10354666,10380313,10406921
34163,34442,34763,35179,36363,36514,36917,36852,36431,36637,36680,37733,36838,37119,37235,37414,38290,38872,39372,39930,40392,40888,41196,41579,41897,42052,42345,42324,42984,43287
55970692,56478268,57300628,57884800,58427324,58744056,59213448,59903500,60930976,61734788,61798020,62880576,62265672,62528376,62952952,63390992,64741996,65688480,66591504,67466284,68273416,69398036,70012984,70866888,71253128,71876952,72315600,72338628,73340508,73994082
1358221,1362100,1365832,1369526,1372891,1376116,1379788,1383488,1386849,1390121,1393956,1398060,1401537,1404725,1407793,1410571,1412894,1415104,1417708,1420249,1422264,1424118,1425776,1426784,1427411,1428110,1429156,1430116,1430741,1431358
41209,41464,41953,42266,42558,42688,42915,43299,43935,44410,44333,44977,44427,44513,44717,44940,45822,46420,46971,47503,48003,48731,49105,49669,49918,50330,50600,50582,51261,51695
